id,collection,dc.title[en_US],dc.content.language[en_US],dc.content.languagecode[en_US],dc.subject.language[en_US],dc.subject.languagecode[en_US],dc.language.iso[en_US],dc.description.region[en_US],dc.coverage.iso3166,dc.coverage.spatial[en_US],dc.description[en_US],dc.contributor.depositor[en_US],dc.contributor.speaker[en_US],dc.contributor.researcher[en_US],dc.contributor.consultant[en_US],dc.contributor.recorder[en_US],dc.date.begin[en_US],dc.date.finish[en_US],dc.date.issued[en_US],dc.type.linguistictype[en_US],dc.format[en_US],dc.format.extent[en_US],dc.identifier.uri,dc.type.dcmi[en_US]
+,123456789/3,JV1-149,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'animal'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-05-25,2012-05-25,2012-05-25,lexicon,digital video file (recorded on iPhone),0:00:05,http://hdl.handle.net/10125/27635,image
+,123456789/3,JV1-150,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'ashes'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-05-25,2012-05-25,2012-05-25,lexicon,digital video file (recorded on iPhone),0:00:10,http://hdl.handle.net/10125/27636,image
+,123456789/3,JV1-151,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'baby yak'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:07,http://hdl.handle.net/10125/27637,image
+,123456789/3,JV1-152,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'barley' and 'tool (for flattening wood)'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:05,http://hdl.handle.net/10125/27638,image
+,123456789/3,JV1-153,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'bird' and 'feather' and 'fur'.,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-05-25,2012-05-25,2012-05-25,lexicon,digital video file (recorded on iPhone),0:00:13,http://hdl.handle.net/10125/27639,image
+,123456789/3,JV1-154,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'blood' and 'kill'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:07,http://hdl.handle.net/10125/27640,image
+,123456789/3,JV1-155,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'breast' and 'two'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:10,http://hdl.handle.net/10125/27641,image
+,123456789/3,JV1-156,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'cut' and 'nun' and 'sharp'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:15,http://hdl.handle.net/10125/27642,image
+,123456789/3,JV1-157,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'female'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-05-26,2012-05-26,2012-05-26,lexicon,digital video file (recorded on iPhone),0:00:07,http://hdl.handle.net/10125/27643,image
+,123456789/3,JV1-158,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'female horse'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:06,http://hdl.handle.net/10125/27644,image
+,123456789/3,JV1-159,Horpa||English,ero||eng,Nyagrong Minyag,ero,Horpa,"Bangsmad, China",CN,east=30.939924; north=100.315246,video elicitation 3 of 'flat'. ,"Van Way, John",,"Van Way, John","Bzangpo, Bkrashis",,2012-06-03,2012-06-03,2012-06-03,lexicon,digital video file (recorded on iPhone),0:00:08,http://hdl.handle.net/10125/27645,image
